DATE,INTDSRUSM193N
2/1/1950,1.5
3/1/1950,1.5
4/1/1950,1.5
5/1/1950,1.5
6/1/1950,1.5
7/1/1950,1.5
8/1/1950,1.5
9/1/1950,1.59
10/1/1950,1.75
11/1/1950,1.75
12/1/1950,1.75
1/1/1951,1.75
2/1/1951,1.75
3/1/1951,1.75
4/1/1951,1.75
5/1/1951,1.75
6/1/1951,1.75
7/1/1951,1.75
8/1/1951,1.75
9/1/1951,1.75
10/1/1951,1.75
11/1/1951,1.75
12/1/1951,1.75
1/1/1952,1.75
2/1/1952,1.75
3/1/1952,1.75
4/1/1952,1.75
5/1/1952,1.75
6/1/1952,1.75
7/1/1952,1.75
8/1/1952,1.75
9/1/1952,1.75
10/1/1952,1.75
11/1/1952,1.75
12/1/1952,1.75
1/1/1953,1.75
2/1/1953,1.88
3/1/1953,2
4/1/1953,2
5/1/1953,2
6/1/1953,2
7/1/1953,2
8/1/1953,2
9/1/1953,2
10/1/1953,2
11/1/1953,2
12/1/1953,2
1/1/1954,2
2/1/1954,2
3/1/1954,1.79
4/1/1954,1.75
5/1/1954,1.63
6/1/1954,1.5
7/1/1954,1.5
8/1/1954,1.5
9/1/1954,1.5
10/1/1954,1.5
11/1/1954,1.5
12/1/1954,1.5
1/1/1955,1.5
2/1/1955,1.5
3/1/1955,1.5
4/1/1955,1.5
5/1/1955,1.63
6/1/1955,1.75
7/1/1955,1.75
8/1/1955,1.75
9/1/1955,1.97
10/1/1955,2.18
11/1/1955,2.25
12/1/1955,2.36
1/1/1956,2.5
2/1/1956,2.5
3/1/1956,2.5
4/1/1956,2.5
5/1/1956,2.65
6/1/1956,2.75
7/1/1956,2.75
8/1/1956,2.75
9/1/1956,2.81
10/1/1956,3
11/1/1956,3
12/1/1956,3
1/1/1957,3
2/1/1957,3
3/1/1957,3
4/1/1957,3
5/1/1957,3
6/1/1957,3
7/1/1957,3
8/1/1957,3
9/1/1957,3.15
10/1/1957,3.5
11/1/1957,3.5
12/1/1957,3.23
1/1/1958,3
2/1/1958,2.94
3/1/1958,2.75
4/1/1958,2.35
5/1/1958,2.03
6/1/1958,1.75
7/1/1958,1.75
8/1/1958,1.75
9/1/1958,1.75
10/1/1958,1.91
11/1/1958,2
12/1/1958,2.4
1/1/1959,2.5
2/1/1959,2.5
3/1/1959,2.5
4/1/1959,2.92
5/1/1959,3
6/1/1959,3.05
7/1/1959,3.5
8/1/1959,3.5
9/1/1959,3.5
10/1/1959,3.83
11/1/1959,4
12/1/1959,4
1/1/1960,4
2/1/1960,4
3/1/1960,4
4/1/1960,4
5/1/1960,4
6/1/1960,4
7/1/1960,3.65
8/1/1960,3.5
9/1/1960,3.18
10/1/1960,3
11/1/1960,3
12/1/1960,3
1/1/1961,3
2/1/1961,3
3/1/1961,3
4/1/1961,3
5/1/1961,3
6/1/1961,3
7/1/1961,3
8/1/1961,3
9/1/1961,3
10/1/1961,3
11/1/1961,3
12/1/1961,3
1/1/1962,3
2/1/1962,3
3/1/1962,3
4/1/1962,3
5/1/1962,3
6/1/1962,3
7/1/1962,3
8/1/1962,3
9/1/1962,3
10/1/1962,3
11/1/1962,3
12/1/1962,3
1/1/1963,3
2/1/1963,3
3/1/1963,3
4/1/1963,3
5/1/1963,3
6/1/1963,3
7/1/1963,3
8/1/1963,3.24
9/1/1963,3.5
10/1/1963,3.5
11/1/1963,3.5
12/1/1963,3.5
1/1/1964,3.5
2/1/1964,3.5
3/1/1964,3.5
4/1/1964,3.5
5/1/1964,3.5
6/1/1964,3.5
7/1/1964,3.5
8/1/1964,3.5
9/1/1964,3.5
10/1/1964,3.5
11/1/1964,3.5
12/1/1964,3.62
1/1/1965,4
2/1/1965,4
3/1/1965,4
4/1/1965,4
5/1/1965,4
6/1/1965,4
7/1/1965,4
8/1/1965,4
9/1/1965,4
10/1/1965,4
11/1/1965,4
12/1/1965,4
1/1/1966,4.42
2/1/1966,4.5
3/1/1966,4.5
4/1/1966,4.5
5/1/1966,4.5
6/1/1966,4.5
7/1/1966,4.5
8/1/1966,4.5
9/1/1966,4.5
10/1/1966,4.5
11/1/1966,4.5
12/1/1966,4.5
1/1/1967,4.5
2/1/1967,4.5
3/1/1967,4.5
4/1/1967,4.5
5/1/1967,4.1
6/1/1967,4
7/1/1967,4
8/1/1967,4
9/1/1967,4
10/1/1967,4
11/1/1967,4
12/1/1967,4.18
1/1/1968,4.5
2/1/1968,4.5
3/1/1968,4.5
4/1/1968,4.66
5/1/1968,5.2
6/1/1968,5.5
7/1/1968,5.5
8/1/1968,5.5
9/1/1968,5.48
10/1/1968,5.25
11/1/1968,5.25
12/1/1968,5.25
1/1/1969,5.36
2/1/1969,5.5
3/1/1969,5.5
4/1/1969,5.5
5/1/1969,5.95
6/1/1969,6
7/1/1969,6
8/1/1969,6
9/1/1969,6
10/1/1969,6
11/1/1969,6
12/1/1969,6
1/1/1970,6
2/1/1970,6
3/1/1970,6
4/1/1970,6
5/1/1970,6
6/1/1970,6
7/1/1970,6
8/1/1970,6
9/1/1970,6
10/1/1970,6
11/1/1970,6
12/1/1970,5.85
1/1/1971,5.52
2/1/1971,5.23
3/1/1971,4.91
4/1/1971,4.75
5/1/1971,4.75
6/1/1971,4.75
7/1/1971,4.75
8/1/1971,4.88
9/1/1971,5
10/1/1971,5
11/1/1971,5
12/1/1971,4.9
1/1/1972,4.63
2/1/1972,4.5
3/1/1972,4.5
4/1/1972,4.5
5/1/1972,4.5
6/1/1972,4.5
7/1/1972,4.5
8/1/1972,4.5
9/1/1972,4.5
10/1/1972,4.5
11/1/1972,4.5
12/1/1972,4.5
1/1/1973,4.5
2/1/1973,4.77
3/1/1973,5.05
4/1/1973,5.5
5/1/1973,5.5
6/1/1973,5.9
7/1/1973,6.33
8/1/1973,6.98
9/1/1973,7.29
10/1/1973,7.5
11/1/1973,7.5
12/1/1973,7.5
1/1/1974,7.5
2/1/1974,7.5
3/1/1974,7.5
4/1/1974,7.5
5/1/1974,7.6
6/1/1974,8
7/1/1974,8
8/1/1974,8
9/1/1974,8
10/1/1974,8
11/1/1974,8
12/1/1974,8
1/1/1975,7.81
2/1/1975,7.4
3/1/1975,6.82
4/1/1975,6.4
5/1/1975,6.25
6/1/1975,6.12
7/1/1975,6
8/1/1975,6
9/1/1975,6
10/1/1975,6
11/1/1975,6
12/1/1975,6
1/1/1976,6
2/1/1976,5.79
3/1/1976,5.5
4/1/1976,5.5
5/1/1976,5.5
6/1/1976,5.5
7/1/1976,5.5
8/1/1976,5.5
9/1/1976,5.5
10/1/1976,5.5
11/1/1976,5.5
12/1/1976,5.43
1/1/1977,5.25
2/1/1977,5.25
3/1/1977,5.25
4/1/1977,5.25
5/1/1977,5.25
6/1/1977,5.25
7/1/1977,5.25
8/1/1977,5.25
9/1/1977,5.27
10/1/1977,5.75
11/1/1977,5.8
12/1/1977,6
1/1/1978,6
2/1/1978,6.37
3/1/1978,6.5
4/1/1978,6.5
5/1/1978,6.5
6/1/1978,6.84
7/1/1978,7
8/1/1978,7.23
9/1/1978,7.43
10/1/1978,7.83
11/1/1978,8.26
12/1/1978,9.5
1/1/1979,9.5
2/1/1979,9.5
3/1/1979,9.5
4/1/1979,9.5
5/1/1979,9.5
6/1/1979,9.5
7/1/1979,9.5
8/1/1979,9.69
9/1/1979,10.24
10/1/1979,10.7
11/1/1979,11.77
12/1/1979,12
1/1/1980,12
2/1/1980,12
3/1/1980,12.52
4/1/1980,13
5/1/1980,13
6/1/1980,12.94
7/1/1980,11.4
8/1/1980,10.87
9/1/1980,10
10/1/1980,10.17
11/1/1980,11
12/1/1980,11.47
1/1/1981,12.87
2/1/1981,13
3/1/1981,13
4/1/1981,13
5/1/1981,13
6/1/1981,13.87
7/1/1981,14
8/1/1981,14
9/1/1981,14
10/1/1981,14
11/1/1981,14
12/1/1981,13.03
1/1/1982,12.1
2/1/1982,12
3/1/1982,12
4/1/1982,12
5/1/1982,12
6/1/1982,12
7/1/1982,12
8/1/1982,11.81
9/1/1982,10.68
10/1/1982,10
11/1/1982,9.68
12/1/1982,9.35
1/1/1983,8.73
2/1/1983,8.5
3/1/1983,8.5
4/1/1983,8.5
5/1/1983,8.5
6/1/1983,8.5
7/1/1983,8.5
8/1/1983,8.5
